"uniqueid","highest_severity_rank","max_charge"
11710618,6,2
11710627,4,1
11710812,5,2
11710989,4,5
11711009,5,2
11711066,4,2
11711073,5,5
11711094,5,1
11711095,5,1
11711108,5,1
11711133,5,3
11711161,5,5
11711190,5,2
11711191,5,2
11711195,4,1
11711260,5,5
11711271,5,1
11711276,7,4
11711278,4,5
11711284,6,1
11711323,4,3
11711333,4,4
11711340,5,4
11711368,6,2
11711369,5,3
11711392,6,2
11711394,5,1
11711398,6,2
11711399,5,1
11711407,6,5
11711422,5,1
11711435,6,3
11711437,5,1
11711445,7,2
11711457,4,2
11711462,6,1
11711479,5,4
11711489,6,39
11711496,5,1
11711521,6,1
11711733,5,4
11711741,4,4
11711759,5,2
11711772,5,18
11711785,5,1
11711790,5,6
11711794,4,1
11711796,5,1
11711804,6,4
11711813,5,1
11711844,5,1
11711909,5,5
11711911,5,2
11711932,5,1
11711934,4,5
11711941,4,3
11711944,5,1
11711966,3,1
11711998,5,1
11712001,7,4
11712006,7,1
11712009,5,3
11712011,5,6
11712042,5,1
11712048,6,2
11712061,6,1
11712071,5,4
11712078,3,1
11712079,4,2
11712087,6,1
11712091,5,1
11712092,4,1
11712095,6,9
11712134,3,1
11712135,5,2
11712142,5,4
11712147,7,5
11712177,5,1
11712225,5,1
11712229,4,2
11712263,5,3
11712286,5,1
11712290,5,2
11712294,4,2
11712798,5,1
11712805,5,4
11712876,4,1
11712878,5,33
11712887,5,1
11712914,4,2
11712949,5,3
11712983,6,2
11712984,6,3
11712995,6,2
11712998,5,2
11713008,4,4
11713033,5,2
11713072,5,3
11713076,4,1
11713077,7,4
11713090,5,9
11713092,4,1
11713097,5,2
11713107,4,2
11713119,5,7
11713158,5,4
11713172,4,2
11713198,4,3
11713216,5,2
11713219,4,2
11713230,5,2
11713361,6,1
11713369,5,2
11713377,4,1
11713385,5,2
11713399,6,9
11713627,4,3
11713635,5,5
11713639,4,2
11713646,5,2
11713647,5,2
11713686,5,2
11713698,6,1
11713779,6,6
11713813,5,2
11713822,4,2
11713825,4,1
11713827,6,4
11713838,5,8
11713849,4,1
11713889,5,4
11713894,5,3
11713902,5,6
11713903,5,4
11713906,5,3
11713970,6,4
11713993,5,1
11714009,5,3
11714038,5,6
11714041,6,2
11714046,5,4
11714052,6,4
11714055,5,1
11714060,5,2
11714070,4,1
11714071,5,5
11714084,4,1
11714090,5,3
11714092,4,1
11714093,4,1
11714094,4,2
11714108,4,2
11714127,5,4
11714135,4,5
11714148,4,1
11714160,5,1
11714161,5,3
11714166,4,2
11714221,6,4
11714473,7,21
11714490,4,1
11714503,7,2
11714509,4,2
11714511,6,2
11714520,4,1
11714524,6,1
11714528,5,1
11714590,5,7
11714592,4,6
11714597,5,4
11714610,5,2
11714631,5,2
11714654,5,3
11714655,5,1
11714656,5,1
11714662,4,2
11714688,5,1
11714761,7,2
11714775,5,1
11714781,5,1
11714783,5,9
11714785,6,7
11714790,5,2
11714791,6,3
11714795,4,2
11714826,3,5
11714827,4,2
11714837,6,5
11714864,4,1
11714871,5,1
11714872,4,1
11714875,4,2
11714882,5,3
11714895,5,3
11714971,5,4
11714972,5,3
11714975,5,2
11714976,5,2
11714982,4,2
11715255,5,7
11715286,5,1
11715295,5,1
11715314,6,7
11715318,5,1
11715320,5,5
11715326,4,2
11715329,5,1
11715333,6,1
11715338,5,4
11715344,6,2
11715369,4,2
11715381,5,4
11715384,4,3
11715390,5,4
11715394,5,3
11715396,5,2
11715399,6,3
11715460,5,1
11715473,5,2
11715476,5,4
11715508,5,1
11715513,6,11
11715543,4,2
11715565,2,1
11715572,5,5
11715586,5,2
11715589,5,2
11715593,4,1
11715598,5,1
11715606,5,5
11715609,5,4
11715622,5,3
11715635,5,5
11715639,5,3
11715662,6,2
11715674,5,5
11715678,4,2
11715685,4,4
11715690,6,1
11715694,6,11
11715698,6,1
11715699,5,3
